"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 19 15:02:26 UTC 2026","Thu Feb 19 15:02:39 UTC 2026","12681","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","testNaoDeveRealizarDepositoComValorMenorQueZero","#7 [CTA-011] Não deve realizar depósito se o valor informado for menor do que 0","Verifica se o API está barrando depósitos em que o valor informado é menor que 0"
"failed","Thu Feb 19 15:05:13 UTC 2026","Thu Feb 19 15:05:37 UTC 2026","24068","","#2 - Login","","com.vemser.dbcbank.tests.login.PostLoginTest","testDeveBloquearCPFApos3TentativasFracassadas","#2 [CTA-008] Deve bloquear CPF após 3 tentativas fracassadas","Verifica se o sistema bloqueia o usuário após 3 tentativas incorretas"
"passed","Thu Feb 19 15:02:51 UTC 2026","Thu Feb 19 15:03:02 UTC 2026","10323","","#5 - Perfil","","com.vemser.dbcbank.tests.editarPerfil.PatchDadosPerfilTest","naoDeveAtualizarComIdadeMenorQue18Anos","#5 [CTA-006] Não deve atualizar com idade menor que 18 anos","Verifica se o sistema permite a atualização de idade para uma inferior a 18 anos"
"passed","Thu Feb 19 15:03:25 UTC 2026","Thu Feb 19 15:03:36 UTC 2026","10914","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveAlterarSenhaComNovaSenhaSemCaracteresObrigatorios","#4 [CTA-004] Tentar alterar senha informando uma nova senha sem os caracteres obrigatórios","Verifica se o sistema impede a alteração de senha quando informado uma nova senha sem os caracteres especiais"
"passed","Thu Feb 19 15:03:02 UTC 2026","Thu Feb 19 15:03:15 UTC 2026","13174","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testDeveAlterarSenhaComSucesso","#4 [CTA-010] Alterar senha com sucesso seguindo todos os critérios","Verifica se o sistema permite a alteração de senha com todas os dados de forma válida"
"passed","Thu Feb 19 15:04:22 UTC 2026","Thu Feb 19 15:04:33 UTC 2026","10727","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveAlterarSenhaComMenosDe8Caracteres","#4 [CTA-002] Tentar alterar senha informando uma nova senha com menos de 8 caracteres","Verifica se o sistema impede a alteração de senha quando informado uma nova senha com menos de 8 caracteres"
"failed","Thu Feb 19 15:01:30 UTC 2026","Thu Feb 19 15:01:41 UTC 2026","11294","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","testNaoDeveRealizarDepositoSemAutenticacao","#7 [CTA-010] Não deve realizar depósito sem autenticação via API","Verifica se a API barra depósito no qual a requisição é feita sem autenticação"
"passed","Thu Feb 19 15:03:15 UTC 2026","Thu Feb 19 15:03:25 UTC 2026","10026","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveAlterarSenhaComMaisDe16Caracteres","#4 [CTA-003] Tentar alterar senha informando uma nova senha com mais de 16 caracteres","Verifica se o sistema impede a alteração de senha quando informado uma nova senha com mais de 16 caracteres"
"passed","Thu Feb 19 15:04:33 UTC 2026","Thu Feb 19 15:04:40 UTC 2026","7144","","#3 - Recuperação de Senha","","com.vemser.dbcbank.tests.recuperarSenha.PostRecuperarSenhaTest","testNaoDeveRealizarRecuperacaoDeSenhaComTokenDeRecuperacaoInvalidoEComSenhaEConfirmacaoDeSenhaIdenticos","#3 [CTA-008] Não deve realizar recuperação de senha com token de recuperação inválido e com senha e confirmação de senha idênticos","Verifica se o sistema impede a recuperação de senha quando o token estiver inválido e os demais campos estiverem corretos "
"passed","Thu Feb 19 15:01:59 UTC 2026","Thu Feb 19 15:02:13 UTC 2026","14293","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","testNaoDeveRealizarDepositoComValorQueUltrapasse50000","#7 [CTA-008] Não deve realizar depósito se o saldo limite ultrapassar 50.000 na conclusão do depósito.","Verifica se a API barra depósito no qual o saldo vai ultrapassar o limite de 50.000"
"passed","Thu Feb 19 15:04:57 UTC 2026","Thu Feb 19 15:04:58 UTC 2026","1230","","#3 - Recuperação de Senha","","com.vemser.dbcbank.tests.recuperarSenha.PostRecuperarSenhaTest","testNaoDeveRealizarRecuperacaoDeSenhaComEmailInvalido","#3 [CTA-002] Não deve realizar recuperação de senha com e-mail inválido","Verifica se o sistema impede a recuperação de senha quando informado um email inválido"
"passed","Thu Feb 19 14:58:19 UTC 2026","Thu Feb 19 14:58:53 UTC 2026","33699","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","testDeveRealizarDepositoComSucesso","#7 [CTA-001]: Depósito realizado com sucesso","Deve realizar o depósito com sucesso"
"failed","Thu Feb 19 14:58:18 UTC 2026","Thu Feb 19 14:58:19 UTC 2026","423","","com.vemser.dbcbank.tests.limiteTransacoes.GetLimiteTransacaoTest","","com.vemser.dbcbank.tests.limiteTransacoes.GetLimiteTransacaoTest","testDeveConsultarLimiteDiarioComSucesso","#10 [CTA-001] Consultar limite diário com sucesso","Verificar se é possível consultar o limite diário de transações com sucesso, utilizando um token válido."
"failed","Thu Feb 19 15:03:49 UTC 2026","Thu Feb 19 15:04:00 UTC 2026","11312","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveAlterarSenhaSemInformarSenhaAtual","#4 [CTA-011] Tentar alterar senha sem informar a senha atual","Verifica se o sistema impede a alteração de senha sem informar a senha atual"
"passed","Thu Feb 19 15:04:58 UTC 2026","Thu Feb 19 15:04:58 UTC 2026","391","","#2 - Login","","com.vemser.dbcbank.tests.login.PostLoginTest","testNaoDeveRealizarLoginComCPFInvalido","#2 [CTA-003] Não deve realizar login com CPF inválido","Verifica se o sistema impede o login com CPF invalido"
